Guitar Notes
Notes on the guitar neck (Format: String Fret-Number)
E 1,F
E 2,F#
E 3,G
E 4,G#
E 5,A
E 6,A#
E 7,B
E 8,C
E 9,C#
E 10,D
E 11,D#
E 12,E
